0,CombatZoneResize,121,186,526,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.4,SET,Loop,15,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.444444,0.03333
0,GetHeartPos,HeartX1,HeartY1
0,Sub,EndX1,$HeartX1,150
0,Gasterblaster,1,0,$HeartY1,$EndX1,$HeartY1,0,0.444444,0.3333
0,GetHeartPos,HeartX2,HeartY2
0,Add,EndX2,$HeartX2,150
0,Gasterblaster,1,640,$HeartY2,$EndX2,$HeartY2,180,0.444444,0.3333
0,GetHeartPos,HeartX3,HeartY3
0,Sub,EndY3,$HeartY3,150
0,Gasterblaster,1,$HeartX3,0,$HeartX3,$EndY3,90,0.444444,0.3333
0,GetHeartPos,HeartX4,HeartY4
0,Add,EndY4,$HeartY4,150
0,Gasterblaster,1,$HeartX4,480,$HeartX4,$EndY4,270,0.444444,0.3333
0,Gasterblaster,1,0,0,$EndX1,$EndY3,45,0.444444,0.3333
0,Gasterblaster,1,0,480,$EndX1,$EndY4,315,0.444444,0.3333
0,Gasterblaster,1,640,0,$EndX2,$EndY3,135,0.444444,0.3333
0,Gasterblaster,1,640,480,$EndX2,$EndY4,225,0.444444,0.3333
1.3,JMPNZ,6,$Loop,,,,,,
0,endattack,,,
